date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2024-02-27,3494.79,10.9,27.23,18.66,10.82,1.25,2.86,2.05,9.174312,csi_300,CSI 300,Legulegu via AkShare
2024-02-28,3450.26,10.76,26.54,18.38,10.7,1.23,2.8,2.03,9.29368,csi_300,CSI 300,Legulegu via AkShare
2024-02-29,3516.08,10.91,27.29,18.74,10.85,1.25,2.88,2.08,9.165903,csi_300,CSI 300,Legulegu via AkShare
2024-03-01,3537.8,10.95,27.59,19.03,10.89,1.26,2.91,2.12,9.13242,csi_300,CSI 300,Legulegu via AkShare
2024-03-04,3540.87,11.0,27.86,19.29,10.94,1.26,2.92,2.15,9.090909,csi_300,CSI 300,Legulegu via AkShare
2024-03-05,3565.51,11.1,27.88,19.4,11.04,1.27,2.93,2.15,9.009009,csi_300,CSI 300,Legulegu via AkShare
2024-03-06,3551.05,11.04,27.77,19.31,10.98,1.27,2.92,2.13,9.057971,csi_300,CSI 300,Legulegu via AkShare
2024-03-07,3529.72,11.03,27.38,19.18,10.96,1.26,2.87,2.1,9.066183,csi_300,CSI 300,Legulegu via AkShare
2024-03-08,3544.91,11.1,27.62,19.28,11.04,1.27,2.9,2.12,9.009009,csi_300,CSI 300,Legulegu via AkShare
2024-03-11,3589.26,11.15,27.99,20.07,11.09,1.28,2.95,2.13,8.96861,csi_300,CSI 300,Legulegu via AkShare
2024-03-12,3597.49,11.07,28.1,20.07,11.01,1.27,2.97,2.14,9.033424,csi_300,CSI 300,Legulegu via AkShare
2024-03-13,3572.36,10.99,27.91,19.93,10.94,1.26,2.95,2.13,9.099181,csi_300,CSI 300,Legulegu via AkShare
2024-03-14,3562.22,10.99,27.73,19.66,10.94,1.26,2.93,2.13,9.099181,csi_300,沪深300,Legulegu via AkShare
2024-03-15,3569.99,11.0,27.84,19.81,10.94,1.26,2.94,2.12,9.090909,csi_300,CSI 300,Legulegu via AkShare
2024-03-18,3603.53,11.08,28.22,20.19,10.99,1.27,2.98,2.15,9.025271,csi_300,CSI 300,Legulegu via AkShare
2024-03-19,3577.63,11.02,28.0,20.01,10.91,1.26,2.96,2.12,9.07441,csi_300,沪深300,Legulegu via AkShare
2024-03-20,3585.38,11.09,28.09,19.97,10.99,1.27,2.96,2.13,9.017133,csi_300,CSI 300,Legulegu via AkShare
2024-03-21,3581.09,11.07,27.99,19.94,10.99,1.27,2.95,2.11,9.033424,csi_300,CSI 300,Legulegu via AkShare
2024-03-22,3545.0,11.03,27.56,19.53,10.92,1.26,2.9,2.06,9.066183,csi_300,沪深300,Legulegu via AkShare
2024-03-25,3525.76,11.01,27.2,19.41,10.92,1.25,2.87,2.07,9.082652,csi_300,CSI 300,Legulegu via AkShare
2024-03-26,3543.75,11.07,27.71,19.62,10.92,1.26,2.87,2.07,9.033424,csi_300,CSI 300,Legulegu via AkShare
2024-03-27,3502.79,10.98,27.79,19.34,10.81,1.25,2.81,2.05,9.107468,csi_300,CSI 300,Legulegu via AkShare
2024-03-28,3520.96,11.04,27.2,19.42,10.86,1.25,2.84,2.07,9.057971,csi_300,CSI 300,Legulegu via AkShare
2024-03-29,3537.48,11.21,27.72,19.46,11.27,1.24,2.86,2.09,8.920607,csi_300,CSI 300,Legulegu via AkShare
2024-04-01,3595.65,11.36,28.25,20.29,11.47,1.26,2.91,2.12,8.802817,csi_300,CSI 300,Legulegu via AkShare
2024-04-02,3580.68,11.37,28.4,20.26,11.49,1.26,2.88,2.13,8.795075,csi_300,CSI 300,Legulegu via AkShare
2024-04-03,3567.8,11.34,29.14,20.22,11.44,1.26,2.85,2.1,8.818342,csi_300,CSI 300,Legulegu via AkShare
2024-04-08,3536.41,11.29,28.72,19.56,11.39,1.25,2.82,2.09,8.857396,csi_300,CSI 300,Legulegu via AkShare
2024-04-09,3533.49,11.25,28.95,19.75,11.36,1.24,2.83,2.09,8.888889,csi_300,CSI 300,Legulegu via AkShare
2024-04-10,3504.71,11.19,28.55,19.31,11.29,1.24,2.8,2.07,8.93655,csi_300,CSI 300,Legulegu via AkShare
2024-04-11,3504.24,11.18,28.57,19.3,11.28,1.24,2.8,2.05,8.944544,csi_300,CSI 300,Legulegu via AkShare
2024-04-12,3475.84,11.1,28.51,19.48,11.2,1.23,2.78,2.01,9.009009,csi_300,沪深300,Legulegu via AkShare
2024-04-15,3549.08,11.37,28.87,19.86,11.46,1.26,2.82,2.06,8.795075,csi_300,CSI 300,Legulegu via AkShare
2024-04-16,3511.11,11.29,28.14,19.62,11.38,1.25,2.77,2.03,8.857396,csi_300,CSI 300,Legulegu via AkShare
2024-04-17,3565.4,11.44,28.82,19.99,11.53,1.27,2.82,2.08,8.741259,csi_300,CSI 300,Legulegu via AkShare
2024-04-18,3569.8,11.44,28.71,19.97,11.52,1.27,2.81,2.07,8.741259,csi_300,CSI 300,Legulegu via AkShare
2024-04-19,3541.66,11.43,28.39,19.96,11.54,1.27,2.77,2.06,8.748906,csi_300,CSI 300,Legulegu via AkShare
2024-04-22,3530.9,11.34,28.56,19.81,11.44,1.26,2.77,2.06,8.818342,csi_300,CSI 300,Legulegu via AkShare
2024-04-23,3506.22,11.26,29.09,19.67,11.35,1.25,2.74,2.02,8.880995,csi_300,CSI 300,Legulegu via AkShare
2024-04-24,3521.62,11.29,29.33,19.79,11.39,1.25,2.75,2.02,8.857396,csi_300,CSI 300,Legulegu via AkShare
2024-04-25,3530.28,11.32,29.01,19.72,11.41,1.25,2.74,2.03,8.833922,csi_300,CSI 300,Legulegu via AkShare
2024-04-26,3584.27,11.47,30.64,20.19,11.56,1.26,2.78,2.04,8.718396,csi_300,CSI 300,Legulegu via AkShare
2024-04-29,3623.91,11.47,30.91,20.64,11.54,1.26,2.81,2.05,8.718396,csi_300,CSI 300,Legulegu via AkShare
2024-04-30,3604.39,11.63,31.62,20.58,11.59,1.24,2.77,2.05,8.598452,csi_300,CSI 300,Legulegu via AkShare
2024-05-06,3657.88,11.72,32.14,20.88,11.67,1.25,2.82,2.08,8.532423,csi_300,CSI 300,Legulegu via AkShare
2024-05-07,3659.01,11.74,32.22,21.0,11.69,1.25,2.82,2.12,8.517888,csi_300,CSI 300,Legulegu via AkShare
2024-05-08,3630.22,11.68,31.78,20.74,11.64,1.24,2.78,2.1,8.561644,csi_300,CSI 300,Legulegu via AkShare
