date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2021-08-04,4978.85,13.49,41.33,25.61,14.62,1.68,6.34,3.31,7.412898,csi_300,CSI 300,Legulegu via AkShare
2021-08-05,4948.67,13.41,41.1,25.45,14.53,1.67,6.29,3.25,7.457122,csi_300,CSI 300,Legulegu via AkShare
2021-08-06,4921.56,13.35,40.65,25.42,14.47,1.66,6.22,3.25,7.490637,csi_300,CSI 300,Legulegu via AkShare
2021-08-09,4985.56,13.51,40.8,25.51,14.65,1.68,6.31,3.3,7.401925,csi_300,CSI 300,Legulegu via AkShare
2021-08-10,5043.15,13.64,41.07,25.51,14.81,1.7,6.04,3.27,7.331378,csi_300,CSI 300,Legulegu via AkShare
2021-08-11,5015.34,13.6,40.64,25.34,14.77,1.7,6.26,3.26,7.352941,csi_300,CSI 300,Legulegu via AkShare
2021-08-12,4973.35,13.52,40.34,25.44,14.68,1.69,6.2,3.24,7.39645,csi_300,CSI 300,Legulegu via AkShare
2021-08-13,4945.98,13.45,40.82,25.95,14.6,1.68,6.13,3.3,7.434944,csi_300,CSI 300,Legulegu via AkShare
2021-08-16,4941.07,13.41,40.55,26.13,14.6,1.68,6.12,3.32,7.457122,csi_300,CSI 300,Legulegu via AkShare
2021-08-17,4837.4,13.15,39.55,26.39,14.33,1.64,5.92,3.25,7.604563,csi_300,CSI 300,Legulegu via AkShare
2021-08-18,4894.24,13.31,39.66,26.67,14.51,1.67,5.93,3.26,7.513148,csi_300,CSI 300,Legulegu via AkShare
2021-08-19,4862.14,13.22,39.15,26.52,14.4,1.65,5.84,3.31,7.564297,csi_300,CSI 300,Legulegu via AkShare
2021-08-20,4769.27,13.0,38.42,25.98,14.18,1.63,5.67,3.26,7.692308,csi_300,CSI 300,Legulegu via AkShare
2021-08-23,4835.88,13.14,39.19,25.82,14.35,1.65,5.78,3.27,7.61035,csi_300,CSI 300,Legulegu via AkShare
2021-08-24,4888.39,13.25,39.32,25.69,14.49,1.66,5.83,3.27,7.54717,csi_300,CSI 300,Legulegu via AkShare
2021-08-25,4898.16,13.26,38.98,25.61,14.52,1.66,5.82,3.24,7.541478,csi_300,CSI 300,Legulegu via AkShare
2021-08-26,4801.61,13.03,38.34,25.66,14.27,1.63,5.66,3.17,7.674597,csi_300,CSI 300,Legulegu via AkShare
2021-08-27,4827.04,12.96,37.49,25.65,14.34,1.63,5.61,3.11,7.716049,csi_300,CSI 300,Legulegu via AkShare
2021-08-30,4813.27,12.6,38.57,24.62,14.3,1.61,5.52,3.11,7.936508,csi_300,CSI 300,Legulegu via AkShare
2021-08-31,4805.61,12.41,37.95,24.41,14.34,1.6,5.42,3.11,8.058018,csi_300,CSI 300,Legulegu via AkShare
2021-09-01,4869.46,12.59,38.04,25.21,14.53,1.62,5.43,3.17,7.942812,csi_300,CSI 300,Legulegu via AkShare
2021-09-02,4869.41,12.6,37.71,25.3,14.55,1.62,5.35,3.16,7.936508,csi_300,CSI 300,Legulegu via AkShare
2021-09-03,4843.06,12.55,37.32,25.53,14.49,1.62,5.3,3.19,7.968127,csi_300,CSI 300,Legulegu via AkShare
2021-09-06,4933.73,12.75,38.37,26.0,14.73,1.65,5.47,3.24,7.843137,csi_300,CSI 300,Legulegu via AkShare
2021-09-07,4992.83,12.9,38.69,26.16,14.9,1.66,5.51,3.23,7.751938,csi_300,CSI 300,Legulegu via AkShare
2021-09-08,4972.13,12.87,38.56,26.15,14.87,1.66,5.47,3.28,7.770008,csi_300,CSI 300,Legulegu via AkShare
2021-09-09,4970.01,12.9,38.68,25.86,14.9,1.66,5.46,3.28,7.751938,csi_300,CSI 300,Legulegu via AkShare
2021-09-10,5013.52,12.98,38.76,25.82,14.99,1.67,5.5,3.3,7.70416,csi_300,CSI 300,Legulegu via AkShare
2021-09-13,4991.66,12.98,38.35,25.78,14.99,1.67,5.43,3.32,7.70416,csi_300,CSI 300,Legulegu via AkShare
2021-09-14,4917.16,12.79,38.1,25.59,14.77,1.65,5.4,3.25,7.818608,csi_300,CSI 300,Legulegu via AkShare
2021-09-15,4867.32,12.68,37.83,25.56,14.65,1.64,5.34,3.21,7.886435,csi_300,CSI 300,Legulegu via AkShare
2021-09-16,4807.7,12.54,37.28,25.04,14.48,1.62,5.27,3.16,7.974482,csi_300,CSI 300,Legulegu via AkShare
2021-09-17,4855.94,12.62,37.8,25.16,14.58,1.63,5.39,3.25,7.92393,csi_300,CSI 300,Legulegu via AkShare
2021-09-22,4821.77,12.56,37.81,25.11,14.51,1.62,5.37,3.22,7.961783,csi_300,CSI 300,Legulegu via AkShare
2021-09-23,4853.2,12.62,37.36,25.75,14.58,1.63,5.42,3.24,7.92393,csi_300,CSI 300,Legulegu via AkShare
2021-09-24,4849.43,12.58,37.35,25.66,14.54,1.63,5.44,3.19,7.949126,csi_300,CSI 300,Legulegu via AkShare
2021-09-27,4877.37,12.64,38.18,25.28,14.6,1.63,5.48,3.22,7.911392,csi_300,CSI 300,Legulegu via AkShare
2021-09-28,4883.83,12.69,38.13,25.21,14.66,1.64,5.46,3.24,7.880221,csi_300,CSI 300,Legulegu via AkShare
2021-09-29,4833.93,12.55,37.37,24.48,14.5,1.62,5.38,3.21,7.968127,csi_300,CSI 300,Legulegu via AkShare
2021-09-30,4866.38,12.61,37.81,25.01,14.57,1.63,5.44,3.22,7.930214,csi_300,CSI 300,Legulegu via AkShare
2021-10-08,4929.94,12.77,38.06,25.18,14.76,1.65,5.47,3.31,7.830854,csi_300,CSI 300,Legulegu via AkShare
2021-10-11,4936.19,12.8,37.84,25.3,14.79,1.65,5.46,3.32,7.8125,csi_300,CSI 300,Legulegu via AkShare
2021-10-12,4883.84,12.67,37.21,25.15,14.64,1.64,5.39,3.25,7.89266,csi_300,CSI 300,Legulegu via AkShare
2021-10-13,4940.11,12.76,37.73,25.4,14.75,1.65,5.49,3.27,7.836991,csi_300,CSI 300,Legulegu via AkShare
2021-10-14,4913.61,12.7,37.58,25.14,14.68,1.64,5.47,3.27,7.874016,csi_300,CSI 300,Legulegu via AkShare
2021-10-15,4932.11,12.76,37.75,24.91,14.74,1.65,5.46,3.24,7.836991,csi_300,CSI 300,Legulegu via AkShare
2021-10-18,4874.78,12.64,37.36,24.38,14.61,1.63,5.37,3.2,7.911392,csi_300,CSI 300,Legulegu via AkShare
2021-10-19,4922.72,12.77,37.69,24.46,14.74,1.65,5.42,3.24,7.830854,csi_300,CSI 300,Legulegu via AkShare
2021-10-20,4910.18,12.73,37.71,24.57,14.69,1.64,5.4,3.17,7.85546,csi_300,CSI 300,Legulegu via AkShare
2021-10-21,4928.02,12.78,37.45,24.33,14.76,1.65,5.38,3.17,7.824726,csi_300,CSI 300,Legulegu via AkShare
